Name_of_Cars,Year,Miles,Price
 Chevrolet Trax,2018,41946,16990
 GMC Terrain,2020,45328,23990
 Jeep Wrangler,2012,81068,21590
 Jeep Renegade,2019,35372,21590
 BMW X,2017,68992,22990
 Buick Encore,2019,47973,18590
 Jeep Compass,2016,57159,17590
 Jeep Compass,2017,47619,18590
 Jeep Patriot,2015,51472,17590
 Jeep Compass,2016,33218,17990
 Jeep Compass,2016,73580,16590
 Jeep Compass,2016,98915,14990
 Jeep Patriot,2015,82715,14990
 Jeep Patriot,2016,92267,15990
 Jeep Patriot,2014,100574,14590
 Jeep Patriot,2016,99075,15590
 Jeep Patriot,2016,71526,16990
 Jeep Compass,2017,88499,16590
 Chrysler Sebring,2010,65923,11990
 Jeep Patriot,2014,93942,14590
 Jeep Compass,2015,70735,17590
 Jeep Patriot,2017,55386,17590
 Subaru Legacy,2016,87336,16990
 Subaru XV Crosstrek,2014,83087,18990
 Mitsubishi Eclipse Cross,2018,85475,16990
 Toyota Corolla,2020,37726,22990
 Nissan Pathfinder,2018,98398,18990
 Lincoln MKC,2015,74004,18990
 Lexus ES,2014,100373,20990
 Dodge Grand Caravan Passenger,2020,75402,19990
 Ford Escape,2017,73047,15990
 Mitsubishi Mirage G,2019,24065,15990
 Toyota C-HR,2019,48626,23990
 Toyota Yaris,2020,33075,20990
 MAZDA CX-,2016,66644,18590
 Nissan Rogue Sport,2019,72150,18990
 Dodge Grand Caravan Passenger,2013,79773,14990
 Volkswagen Atlas,2018,95454,22990
 Toyota Yaris,2017,65338,16990
 MAZDA MAZDA,2013,100316,12990
 Nissan Sentra,2017,41515,15990
 Honda Civic,2011,72452,14590
 Nissan Rogue,2016,74362,16590
 Toyota Corolla iM,2018,19651,22590
 Subaru Forester,2014,91222,17990
 Volkswagen Jetta,2014,77209,14990
 FIAT ,2013,44087,15990
 Honda Accord,2018,52200,22990
 Hyundai Sonata,2016,103913,13990
 Subaru Legacy,2016,29116,22990
 GMC Acadia,2016,65719,22990
 Kia Optima,2020,60698,20590
 Hyundai Veloster,2014,69878,15590
 Hyundai Elantra,2013,103464,12590
 FIAT  Spider,2017,17223,22990
 Toyota Corolla,2017,62585,17990
 Honda Odyssey,2014,97244,19990
 Volkswagen Tiguan,2018,42025,21990
 Ford Escape,2019,59050,20990
 Acura RDX,2017,61143,24990
 Jeep Grand Cherokee,2010,72475,14990
 Chrysler Voyager,2021,74312,22990
 Hyundai Accent,2017,36859,15590
 Hyundai Elantra,2021,26507,22990
 Hyundai Accent,2022,4301,21590
 Honda CR-V,2010,93230,14990
 INFINITI QX,2016,75969,20990
 Chevrolet Traverse,2016,77363,18990
 Mitsubishi Outlander Sport,2020,51245,20590
 Hyundai Elantra,2013,43651,15590
 Honda Accord,2010,55426,15990
 Hyundai Kona,2020,41301,23990
 Nissan Frontier King Cab,2019,39105,24590
 Chevrolet Spark,2017,70606,13990
 Nissan Altima,2020,66246,24990
 Kia Optima,2020,30302,21590
 Hyundai Kona,2018,69900,22990
 Kia Soul,2018,21755,22590
 Ford Fusion,2015,44521,19990
 Jeep Compass,2018,56631,20990
 Ford Edge,2019,41061,23990
 Chevrolet Sonic,2017,42108,15590
 Buick Encore,2018,71737,17590
 Toyota Corolla,2020,57489,20590
 Buick Enclave,2017,87121,20990
 Jeep Compass,2018,52909,20990
 Honda Accord,2012,63303,17990
 Hyundai Sonata,2013,74193,14590
 Kia Forte,2022,10336,23590
 Nissan Rogue,2018,45569,21990
 Scion tC,2013,55791,17990
 Honda Civic,2010,47121,14990
 Hyundai Elantra,2018,83283,15990
 Ford Fusion,2020,28570,23990
 Buick Encore,2020,48653,20590
 Dodge Journey,2016,67534,18990
 Audi A Sportback e-tron,2016,62319,24590
 Honda CR-V,2013,101583,15990
 Nissan Rogue,2017,91604,16990
 Mitsubishi Outlander,2018,83090,17990
 Alfa Romeo Giulia,2017,52817,23990
 Chevrolet Cruze,2017,91347,15590
 Nissan Kicks,2020,48985,22990
 Ford Fiesta,2017,83381,12990
 MAZDA CX-,2021,47026,23590
 BMW  Series,2011,64514,22990
 Kia Sportage,2018,13541,22990
 Ford Mustang,2018,81441,22990
 Nissan Altima,2019,46662,23590
 Volkswagen Passat,2018,51020,20590
 Honda Accord,2014,38422,19990
 Lexus IS,2013,100000,16990
 Kia Soul,2021,39068,19990
 Jeep Grand Cherokee,2017,97364,24590
 Buick Encore,2019,47973,18590
 Acura MDX,2016,92544,21990
 Kia Cadenza,2014,24248,20990
 Hyundai Elantra,2018,34931,19990
 GMC Acadia,2014,99519,19990
 Hyundai Tucson,2019,42021,22590
 Subaru XV Crosstrek,2014,83087,18990
 Hyundai Elantra,2016,105344,13590
 Toyota Camry,2011,78431,14990
 Jeep Renegade,2019,35372,21590
 Volkswagen Jetta SportWagen,2013,101042,14990
 Toyota Corolla,2020,37726,22990
 MINI Hardtop  Door,2015,56229,18990
 Cadillac CTS,2014,56213,20590
 Lexus IS,2012,88541,18590
 BMW  Series,2013,77600,18990
 Kia Sedona,2016,97963,15990
 Nissan Rogue,2016,96510,15990
 Kia Rio,2017,33004,15590
 Ram  Regular Cab,2014,46757,23990
 Chevrolet Impala,2020,54232,24990
 Kia Optima,2017,82765,19590
 Chevrolet Trax,2020,34680,19990
 Chevrolet Equinox,2019,42197,21990
 Chrysler Pacifica,2018,67400,24990
 Honda Civic,2012,104955,13990
 Lexus IS,2014,64311,23590
 Nissan Murano,2018,44834,23990
 Subaru Impreza,2017,99558,16990
 MINI Hardtop  Door,2015,36134,17590
 Subaru Legacy,2013,54606,16590
 MAZDA CX-,2021,50801,22590
 Chevrolet Volt,2018,61688,21990
 Hyundai Kona,2021,16030,24990
 Toyota Camry,2015,46874,18990
 Hyundai Elantra,2021,26507,22990
 Subaru Impreza,2013,30092,17990
 MINI Coupe,2015,32968,19590
 Mitsubishi Mirage G,20204,40536,15990
 Chrysler Voyager,2021,74312,22990
 Mercedes-Benz SLK-Class,2011,30836,24590
 Toyota Prius v,2014,85050,17990
 Volkswagen Tiguan,2018,45077,20590
 Nissan Versa,2013,82983,12590
 Jeep Compass,2018,52909,20990
 MAZDA CX-,20165,57429,19590
 Toyota Camry,2014,81961,16590
 MAZDA MAZDA,20153,50194,19590
 Volkswagen Passat,2015,103569,15990
